Simulation,Model,Player,Raises,Folds,Win Rate,Total Earnings,Avg Earnings (Per Round)
1,BNE,Risk Averse,0.0,100.0,0.0,-700,-140.0
1,BNE,Risk Seeking,60.0,40.0,60.0,1400,280.0
1,BNE,Loss Averse,20.0,80.0,0.0,-900,-180.0
1,BNE,Optimistic,60.0,40.0,20.0,-400,-80.0
1,BNE,Rational,20.0,80.0,20.0,600,120.0
1,PBE,Risk Averse,0.0,100.0,40.0,1300,260.0
1,PBE,Risk Seeking,20.0,80.0,20.0,-200,-40.0
1,PBE,Loss Averse,20.0,80.0,40.0,1500,300.0
1,PBE,Optimistic,0.0,100.0,0.0,-1100,-220.0
1,PBE,Rational,40.0,60.0,0.0,-1500,-300.0
2,BNE,Risk Averse,0.0,100.0,20.0,200,40.0
2,BNE,Risk Seeking,60.0,40.0,20.0,-800,-160.0
2,BNE,Loss Averse,20.0,80.0,20.0,0,0.0
2,BNE,Optimistic,20.0,80.0,0.0,-900,-180.0
2,BNE,Rational,40.0,60.0,40.0,1500,300.0
2,PBE,Risk Averse,0.0,100.0,40.0,900,180.0
2,PBE,Risk Seeking,20.0,80.0,40.0,300,60.0
2,PBE,Loss Averse,0.0,100.0,0.0,-700,-140.0
2,PBE,Optimistic,0.0,100.0,0.0,-1100,-220.0
2,PBE,Rational,20.0,80.0,20.0,600,120.0
3,BNE,Risk Averse,40.0,60.0,20.0,0,0.0
3,BNE,Risk Seeking,20.0,80.0,20.0,200,40.0
3,BNE,Loss Averse,0.0,100.0,20.0,-200,-40.0
3,BNE,Optimistic,20.0,80.0,40.0,1300,260.0
3,BNE,Rational,0.0,100.0,0.0,-1300,-260.0
3,PBE,Risk Averse,20.0,80.0,0.0,-700,-140.0
3,PBE,Risk Seeking,40.0,60.0,20.0,-400,-80.0
3,PBE,Loss Averse,0.0,100.0,40.0,1300,260.0
3,PBE,Optimistic,20.0,80.0,40.0,900,180.0
3,PBE,Rational,0.0,100.0,0.0,-1100,-220.0
4,BNE,Risk Averse,60.0,40.0,60.0,2600,520.0
4,BNE,Risk Seeking,20.0,80.0,20.0,-200,-40.0
4,BNE,Loss Averse,0.0,100.0,0.0,-900,-180.0
4,BNE,Optimistic,20.0,80.0,20.0,-400,-80.0
4,BNE,Rational,0.0,100.0,0.0,-1100,-220.0
4,PBE,Risk Averse,0.0,100.0,0.0,-500,-100.0
4,PBE,Risk Seeking,40.0,60.0,20.0,-200,-40.0
4,PBE,Loss Averse,40.0,60.0,40.0,1300,260.0
4,PBE,Optimistic,60.0,40.0,40.0,300,60.0
4,PBE,Rational,0.0,100.0,0.0,-900,-180.0
5,BNE,Risk Averse,20.0,80.0,40.0,1700,340.0
5,BNE,Risk Seeking,40.0,60.0,0.0,-1700,-340.0
5,BNE,Loss Averse,0.0,100.0,20.0,400,80.0
5,BNE,Optimistic,20.0,80.0,20.0,-200,-40.0
5,BNE,Rational,20.0,80.0,20.0,-200,-40.0
5,PBE,Risk Averse,0.0,100.0,60.0,1800,360.0
5,PBE,Risk Seeking,0.0,100.0,0.0,-900,-180.0
5,PBE,Loss Averse,0.0,100.0,20.0,0,0.0
5,PBE,Optimistic,20.0,80.0,20.0,-400,-80.0
5,PBE,Rational,0.0,100.0,0.0,-500,-100.0
